ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
94027,89,723,137,4764,380,1,0,167,0,6261,891,14.23,250001.0,8.8,68.0,18.5,1.2,84.7,7213,7397088.91,0.5047,0.1154867256637168,1.0,0.0,0.0097345132743362,0.0337888571857636,4.965984541748105,4.938998002774305,584.9755065097655,San Mateo,1.0,2.0,2.0,0.0
94022,228,1880,255,12682,1416,8,1,502,0,16972,2390,14.08,250001.0,5.2,53.7,36.2,0.2,87.6,20069,4383734.1,0.4986,0.1970260223048327,0.846250471046351,0.152744630071599,0.0223048327137546,0.0301189699312283,4.278298892433393,4.142339360581487,1103.7005702529184,Santa Clara,17.0,153.0,133.0,20.0
94301,141,1229,163,8513,1141,5,5,352,0,11549,1586,13.73,184932.0,6.2,59.6,24.4,2.5,82.0,17243,3763337.05,0.5426,0.4464660601819454,0.5843328335832084,0.4156671664167916,0.099370188943317,0.0436696601514351,7.792235117406755,3.98352709964898,563.0503303513643,Santa Clara,15.0,65.0,64.0,1.0
94028,128,645,110,4451,609,1,1,188,0,6133,834,13.6,250001.0,9.0,79.5,5.9,0.0,85.2,6582,3708911.26,0.4921,0.1337630942788074,0.9073731011485736,0.0926268988514264,0.0382755842062852,0.0327668044709845,5.139967262243339,4.15157463981693,714.8397381,San Mateo,2.0,4.0,4.0,0.0
94024,253,1981,246,14374,1649,12,3,571,0,19089,2564,13.43,250001.0,6.3,55.6,31.7,0.9,85.1,24203,3879869.05,0.4602,0.1235689397710303,0.9728705129723968,0.0271294870276033,0.0124440019910403,0.024338580387922,6.9428326973892505,4.068952805792752,822.6842348311702,Santa Clara,2.0,30.0,26.0,4.0
90402,78,756,67,6223,722,20,3,309,0,8178,1085,13.27,139667.0,12.5,73.9,5.9,0.8,78.6,12046,4112663.88,0.5979,0.2753770892784346,0.6267011197243756,0.3732988802756244,0.031593966571545,0.0608478802992518,13.27409946685611,4.286489601833933,690.096928304738,Los Angeles,3.0,5.0,5.0,0.0
92657,107,933,126,7458,302,13,1,243,0,9183,1189,12.95,181176.0,6.0,67.0,22.7,0.2,78.3,9342,3949922.71,0.5207,0.2277960526315789,0.8402000476303881,0.1567039771374136,0.0,0.084671376578891,6.298807446214539,3.898296889299561,1101.212494395915,Orange ,9.0,16.0,14.0,2.0
90077,72,664,92,5542,405,9,0,201,0,6985,874,12.51,200625.0,5.8,77.0,7.5,1.7,77.8,7729,2893567.91,0.5647,0.1407381855812349,0.9531562410739788,0.0468437589260211,0.0131079682649189,0.0510001324678765,7.405740319691734,5.284451795277442,2408.7813408014204,Los Angeles,2.0,5.0,5.0,0.0
90272,226,1533,229,13385,1385,28,1,581,0,17368,2142,12.33,212115.0,5.0,82.1,7.2,0.4,78.9,21282,3376952.31,0.546,0.2099331186524647,0.7905562313391573,0.1711821298241733,0.0220460738171909,0.0446756425948592,6.526432192403462,5.257844241954871,959.8508119755533,Los Angeles,3.0,18.0,16.0,0.0
95070,324,2589,378,21252,2143,53,6,724,0,27469,3366,12.25,222235.0,2.9,39.3,52.5,0.1,80.1,32189,3442554.51,0.4598,0.1286040787623066,0.9102746014522994,0.0822135047158,0.0236462728551336,0.0296689569019362,5.232541892068047,3.2533834202735274,898.0386031304556,Santa Clara,7.0,81.0,77.0,4.0
90094,33,588,62,5014,400,8,0,157,0,6262,753,12.03,166667.0,12.1,59.4,17.3,4.3,83.9,11426,1268247.27,0.4435,0.6438848920863309,0.1054880052579691,0.8945119947420309,0.0208633093525179,0.051415011425558,19.2623486951208,6.803022253076,1547.1112889999995,Los Angeles,10.0,31.0,16.0,15.0
95030,225,1035,262,9117,642,11,5,342,0,11639,1388,11.93,215461.0,5.5,75.7,16.3,0.2,79.6,13528,3234472.56,0.5362,0.2440709617180205,0.8298301664704893,0.1701698335295106,0.0216619981325863,0.0583562254064889,5.228615717448592,3.794457914603633,1056.8067568219874,Santa Clara,13.0,40.0,37.0,3.0
94708,101,572,61,6133,1020,4,5,380,0,8276,956,11.55,201099.0,4.5,75.8,10.7,1.9,86.6,11937,1552077.6,0.4172,0.1480104940970704,0.9136484550849192,0.0857376713730304,0.019676432006996,0.0520358168609562,2.830065370783424,2.4695246391039065,165.25183852331506,Alameda ,0.0,0.0,0.0,0.0
94539,284,3476,674,31836,3274,55,3,1108,0,40710,4639,11.4,200046.0,4.5,13.9,75.9,1.5,74.3,53762,1902980.06,0.3908,0.1938570296788347,0.8917954119850188,0.1048103932584269,0.0263270156621366,0.0346614291058735,11.493309594659074,3.953099318891747,1652.109092693012,Alameda ,32.0,65.0,62.0,3.0
