ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports,HomeownerShare,ChargersPer1000EV,Diesel_share,Gasoline_share,Gasoline_Hybrid_share,PHEV_share,Electric_share,PortsPer10kPeople
94027,89,723,137,4764,380,1,0,167,0,6261,891,14.23,250001.0,8.8,68.0,18.5,1.2,84.7,7213,7397088.91,0.5047,0.1154867256637168,1.0,0.0,0.0097345132743362,0.0337888571857636,4.965984541748105,4.938998002774305,584.9755065097655,San Mateo,1.0,2.0,2.0,0.0,0.8845132743362832,1.122334455667789,0.014214981632327104,0.7609008145663632,0.060693180003194375,0.026673055422456477,0.11547676090081456,2.7727713849993068
94022,228,1880,255,12682,1416,8,1,502,0,16972,2390,14.08,250001.0,5.2,53.7,36.2,0.2,87.6,20069,4383734.1,0.4986,0.1970260223048327,0.846250471046351,0.152744630071599,0.0223048327137546,0.0301189699312283,4.278298892433393,4.142339360581487,1103.7005702529184,Santa Clara,17.0,153.0,133.0,20.0,0.8029739776951673,7.112970711297072,0.01343389111477728,0.7472307329719539,0.08343153429177469,0.029578128682535943,0.11077068112184775,76.23698241068314
94301,141,1229,163,8513,1141,5,5,352,0,11549,1586,13.73,184932.0,6.2,59.6,24.4,2.5,82.0,17243,3763337.05,0.5426,0.4464660601819454,0.5843328335832084,0.4156671664167916,0.099370188943317,0.0436696601514351,7.792235117406755,3.98352709964898,563.0503303513643,Santa Clara,15.0,65.0,64.0,1.0,0.5535339398180545,9.457755359394703,0.012208849251017404,0.7371200969780933,0.09879643259156637,0.030478829335873234,0.10641613992553468,37.696456533085886
94028,128,645,110,4451,609,1,1,188,0,6133,834,13.6,250001.0,9.0,79.5,5.9,0.0,85.2,6582,3708911.26,0.4921,0.1337630942788074,0.9073731011485736,0.0926268988514264,0.0382755842062852,0.0327668044709845,5.139967262243339,4.15157463981693,714.8397381,San Mateo,2.0,4.0,4.0,0.0,0.8662369057211926,2.398081534772182,0.020870699494537747,0.7257459644545899,0.09929887493885538,0.030653839882602316,0.10516875917169412,6.077180188392585
94024,253,1981,246,14374,1649,12,3,571,0,19089,2564,13.43,250001.0,6.3,55.6,31.7,0.9,85.1,24203,3879869.05,0.4602,0.1235689397710303,0.9728705129723968,0.0271294870276033,0.0124440019910403,0.024338580387922,6.9428326973892505,4.068952805792752,822.6842348311702,Santa Clara,2.0,30.0,26.0,4.0,0.8764310602289697,0.7800312012480499,0.013253706323013254,0.752999109434753,0.08638482895908639,0.02991251506102991,0.10377704437110377,12.3951576250878
90402,78,756,67,6223,722,20,3,309,0,8178,1085,13.27,139667.0,12.5,73.9,5.9,0.8,78.6,12046,4112663.88,0.5979,0.2753770892784346,0.6267011197243756,0.3732988802756244,0.031593966571545,0.0608478802992518,13.27409946685611,4.286489601833933,690.096928304738,Los Angeles,3.0,5.0,5.0,0.0,0.7246229107215654,2.7649769585253456,0.009537784299339692,0.7609439960870629,0.08828564441183663,0.03778429933969186,0.09244314013206163,4.150755437489623
92657,107,933,126,7458,302,13,1,243,0,9183,1189,12.95,181176.0,6.0,67.0,22.7,0.2,78.3,9342,3949922.71,0.5207,0.2277960526315789,0.8402000476303881,0.1567039771374136,0.0,0.084671376578891,6.298807446214539,3.898296889299561,1101.212494395915,Orange ,9.0,16.0,14.0,2.0,0.7722039473684211,7.5693860386879726,0.011651965588587608,0.8121528912120222,0.032886856147228576,0.026461940542306436,0.10160078405749755,17.126953543138516
90077,72,664,92,5542,405,9,0,201,0,6985,874,12.51,200625.0,5.8,77.0,7.5,1.7,77.8,7729,2893567.91,0.5647,0.1407381855812349,0.9531562410739788,0.0468437589260211,0.0131079682649189,0.0510001324678765,7.405740319691734,5.284451795277442,2408.7813408014204,Los Angeles,2.0,5.0,5.0,0.0,0.8592618144187651,2.288329519450801,0.010307802433786685,0.7934144595561918,0.05798138869005011,0.02877594846098783,0.09506084466714387,6.469142191745374
90272,226,1533,229,13385,1385,28,1,581,0,17368,2142,12.33,212115.0,5.0,82.1,7.2,0.4,78.9,21282,3376952.31,0.546,0.2099331186524647,0.7905562313391573,0.1711821298241733,0.0220460738171909,0.0446756425948592,6.526432192403462,5.257844241954871,959.8508119755533,Los Angeles,3.0,18.0,16.0,0.0,0.7900668813475353,1.4005602240896358,0.013012436665131275,0.7706701980654076,0.07974435743896821,0.03345232611699678,0.08826577614002763,8.45785170566676
95070,324,2589,378,21252,2143,53,6,724,0,27469,3366,12.25,222235.0,2.9,39.3,52.5,0.1,80.1,32189,3442554.51,0.4598,0.1286040787623066,0.9102746014522994,0.0822135047158,0.0236462728551336,0.0296689569019362,5.232541892068047,3.2533834202735274,898.0386031304556,Santa Clara,7.0,81.0,77.0,4.0,0.8713959212376934,2.0796197266785503,0.011795114492700863,0.7736721395027122,0.07801521715388256,0.026356984236776,0.09425170191852635,25.163875858212432
90094,33,588,62,5014,400,8,0,157,0,6262,753,12.03,166667.0,12.1,59.4,17.3,4.3,83.9,11426,1268247.27,0.4435,0.6438848920863309,0.1054880052579691,0.8945119947420309,0.0208633093525179,0.051415011425558,19.2623486951208,6.803022253076,1547.1112889999995,Los Angeles,10.0,31.0,16.0,15.0,0.35611510791366907,13.280212483399735,0.005269881826892367,0.8007026509102523,0.06387735547748323,0.02507186202491217,0.09389971255190036,27.131104498512165
