ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
94027,89,723,137,4764,380,1,0,167,0,6261,891,14.23,250001.0,8.8,68.0,18.5,1.2,84.7,7213,7397088.91,0.5047,0.11548672566371682,1.0,0.0,0.009734513274336283,0.033788857185763625,4.965984541748105,4.938998002774305,584.9755065097655,San Mateo
94022,228,1880,255,12682,1416,8,1,502,0,16972,2390,14.08,250001.0,5.2,53.7,36.2,0.2,87.6,20069,4383734.1,0.4986,0.1970260223048327,0.846250471046351,0.15274463007159905,0.022304832713754646,0.03011896993122835,4.278298892433393,4.142339360581487,1103.7005702529184,Santa Clara
94301,141,1229,163,8513,1141,5,5,352,0,11549,1586,13.73,184932.0,6.2,59.6,24.4,2.5,82.0,17243,3763337.05,0.5426,0.4464660601819454,0.5843328335832084,0.4156671664167916,0.099370188943317,0.043669660151435113,7.792235117406755,3.9835270996489798,563.0503303513643,Santa Clara
94028,128,645,110,4451,609,1,1,188,0,6133,834,13.6,250001.0,9.0,79.5,5.9,0.0,85.2,6582,3708911.26,0.4921,0.13376309427880742,0.9073731011485735,0.09262689885142646,0.038275584206285254,0.03276680447098453,5.139967262243339,4.15157463981693,714.8397381,San Mateo
94024,253,1981,246,14374,1649,12,3,571,0,19089,2564,13.43,250001.0,6.3,55.6,31.7,0.9,85.1,24203,3879869.05,0.4602,0.12356893977103037,0.9728705129723967,0.027129487027603365,0.012444001991040319,0.024338580387922082,6.9428326973892505,4.068952805792752,822.6842348311702,Santa Clara
90402,78,756,67,6223,722,20,3,309,0,8178,1085,13.27,139667.0,12.5,73.9,5.9,0.8,78.6,12046,4112663.88,0.5979,0.2753770892784346,0.6267011197243756,0.37329888027562447,0.03159396657154505,0.06084788029925187,13.27409946685611,4.286489601833933,690.096928304738,Los Angeles
92657,107,933,126,7458,302,13,1,243,0,9183,1189,12.95,181176.0,6.0,67.0,22.7,0.2,78.3,9342,3949922.71,0.5207,0.22779605263157895,0.8402000476303881,0.15670397713741366,0.0,0.08467137657889102,6.298807446214539,3.8982968892995613,1101.212494395915,Orange 
90077,72,664,92,5542,405,9,0,201,0,6985,874,12.51,200625.0,5.8,77.0,7.5,1.7,77.8,7729,2893567.91,0.5647,0.1407381855812349,0.9531562410739789,0.046843758926021134,0.013107968264918937,0.05100013246787654,7.405740319691734,5.284451795277442,2408.7813408014204,Los Angeles
90272,226,1533,229,13385,1385,28,1,581,0,17368,2142,12.33,212115.0,5.0,82.1,7.2,0.4,78.9,21282,3376952.31,0.546,0.2099331186524647,0.7905562313391573,0.17118212982417338,0.022046073817190984,0.04467564259485924,6.526432192403462,5.257844241954871,959.8508119755531,Los Angeles
95070,324,2589,378,21252,2143,53,6,724,0,27469,3366,12.25,222235.0,2.9,39.3,52.5,0.1,80.1,32189,3442554.51,0.4598,0.12860407876230662,0.9102746014522994,0.08221350471580002,0.023646272855133616,0.02966895690193629,5.232541892068047,3.2533834202735274,898.0386031304556,Santa Clara
